Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,1052.097,X,Figure from international organizations,
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,1045.88,X,Figure from international organizations,
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,1039.261,X,Figure from international organizations,
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,1032.237,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,912.62,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,905.8,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,898.894,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,891.675,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,884.501,X,Figure from international organizations,
OA,Annual population,428,Latvia,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,877.11,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,629.841,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,627.494,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,623.4,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,619.932,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,619.348,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,617.15,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,615.637,X,Figure from international organizations,
OA,Annual population,233,Estonia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,615.55,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,610.59,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,605.429,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,600.193,X,Figure from international organizations,
OA,Annual population,196,Cyprus,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,594.938,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,317.202,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,311.831,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,305.634,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,299.592,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,292.904,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,285.552,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,266.911,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,259.634,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,252.149,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,244.709,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,237.468,X,Figure from international organizations,
OA,Annual population,470,Malta,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,230.659,X,Figure from international organizations,
